a	Permutation_Entropy	Pattern_Probabilities
1.11	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.0
1.11	0.24999981784610445	0.0,0.0,0.0,0.0,0.0,0.4994974874371859,0.0,0.0,0.0,0.0,0.5005025125628141,0.0,0.0,0.0,0.0,0.0
1.12	0.31516978939754114	0.0,0.009045226130653266,0.009045226130653266,0.0,0.009045226130653266,0.4824120603015075,0.0,0.0,0.009045226130653266,0.0,0.4814070351758794,0.0,0.0,0.0,0.0,0.0
1.12	0.30931877349186543	0.0,0.008040201005025126,0.008040201005025126,0.0,0.008040201005025126,0.4844221105527638,0.0,0.0,0.008040201005025126,0.0,0.4834170854271357,0.0,0.0,0.0,0.0,0.0
1.12	0.3317796651386764	0.0,0.012060301507537688,0.012060301507537688,0.0,0.012060301507537688,0.47537688442211057,0.0,0.0,0.012060301507537688,0.0,0.4763819095477387,0.0,0.0,0.0,0.0,0.0
1.12	0.3032800168888595	0.0,0.007035175879396985,0.007035175879396985,0.0,0.007035175879396985,0.48542713567839196,0.0,0.0,0.007035175879396985,0.0,0.4864321608040201,0.0,0.0,0.0,0.0,0.0
1.12	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12	0.32638553926395397	0.0,0.011055276381909548,0.011055276381909548,0.0,0.011055276381909548,0.47839195979899496,0.0,0.0,0.011055276381909548,0.0,0.47738693467336685,0.0,0.0,0.0,0.0,0.0
1.12	0.28372679182687294	0.0,0.004020100502512563,0.004020100502512563,0.0,0.004020100502512563,0.4914572864321608,0.0,0.0,0.004020100502512563,0.0,0.49246231155778897,0.0,0.0,0.0,0.0,0.0
1.12	0.32085331942938056	0.0,0.010050251256281407,0.010050251256281407,0.0,0.010050251256281407,0.48040201005025124,0.0,0.0,0.010050251256281407,0.0,0.4793969849246231,0.0,0.0,0.0,0.0,0.0
1.12	0.28372679182687294	0.0,0.004020100502512563,0.004020100502512563,0.0,0.004020100502512563,0.49246231155778897,0.0,0.0,0.004020100502512563,0.0,0.4914572864321608,0.0,0.0,0.0,0.0,0.0
1.12	0.2905260557013366	0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.4904522613065327,0.0,0.0,0.005025125628140704,0.0,0.4894472361809045,0.0,0.0,0.0,0.0,0.0
1.12	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12	0.3032800168888595	0.0,0.007035175879396985,0.007035175879396985,0.0,0.007035175879396985,0.48542713567839196,0.0,0.0,0.007035175879396985,0.0,0.4864321608040201,0.0,0.0,0.0,0.0,0.0
1.12	0.29702741723693743	0.0,0.006030150753768844,0.006030150753768844,0.0,0.006030150753768844,0.48743718592964824,0.0,0.0,0.006030150753768844,0.0,0.4884422110552764,0.0,0.0,0.0,0.0,0.0
1.12	0.2905260557013366	0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.4894472361809045,0.0,0.0,0.005025125628140704,0.0,0.4904522613065327,0.0,0.0,0.0,0.0,0.0
1.12	0.30015446522973976	0.0,0.007035175879396985,0.007035175879396985,0.0,0.006030150753768844,0.48743718592964824,0.0,0.0,0.006030150753768844,0.0,0.4864321608040201,0.0,0.0,0.0,0.0,0.0
1.12	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12	-0.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12	0.2905260557013366	0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.4904522613065327,0.0,0.0,0.005025125628140704,0.0,0.4894472361809045,0.0,0.0,0.0,0.0,0.0
1.12	0.2905260557013366	0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.4904522613065327,0.0,0.0,0.005025125628140704,0.0,0.4894472361809045,0.0,0.0,0.0,0.0,0.0
1.12	0.28372679182687294	0.0,0.004020100502512563,0.004020100502512563,0.0,0.004020100502512563,0.49246231155778897,0.0,0.0,0.004020100502512563,0.0,0.4914572864321608,0.0,0.0,0.0,0.0,0.0
1.12	0.31516978939754114	0.0,0.009045226130653266,0.009045226130653266,0.0,0.009045226130653266,0.4814070351758794,0.0,0.0,0.009045226130653266,0.0,0.4824120603015075,0.0,0.0,0.0,0.0,0.0
1.12	0.30931877349186543	0.0,0.008040201005025126,0.008040201005025126,0.0,0.008040201005025126,0.4844221105527638,0.0,0.0,0.008040201005025126,0.0,0.4834170854271357,0.0,0.0,0.0,0.0,0.0
1.12	0.31516978939754114	0.0,0.009045226130653266,0.009045226130653266,0.0,0.009045226130653266,0.4824120603015075,0.0,0.0,0.009045226130653266,0.0,0.4814070351758794,0.0,0.0,0.0,0.0,0.0
